date_added;id;name;brand;owner;condition;condition_desctription;retail_price;tc_price;sold
;outfit.16e87e3968054dc8824ba7ff56aed7f4;M Red Flowers Summer Rouching Gown;byTiMo;FJONG;4 - Minor defects;Flekker foran, litt slitaje i stoff;750;250.0;True
2023-09-19;outfit.170d553601c744e393427a92c0cf58b3;Mira Zhoe Floral Wrap Dress;Faithfull The Brand;FJONG;4 - Minor defects;Stain on right arm;3600;1080.0;False
2023-01-10;outfit.171c86f3627845c08df08a82deb2241f;Satin Wrap Dress Jacquard Golden;byTiMo;Fjong;3 - Good condition;synlig reaparert hull på høyre side ved mageområdet;2000;600.0;False
2023-10-31;outfit.173befabe7a14130b0e646ca4152150c;Silk Top;Céline;Gunhild Stordalen;4 - Minor defects;Retarert i sidesøm, ellers god stand;3800;749.0;False
2023-01-10;outfit.1741f5f96ff24df6a415cdb7db237c45;Smoke Bjørg Shaggy Dress;SOYAAULAIT;Soyaaulait;4 - Minor defects;leather on neckline worn out;3150;945.0;False
2024-01-25;outfit.17558a1ae0a7421b9ebd4bc717e24b09;Ifaya Pink Blouse;By Malene Birger;FJONG;4 - Minor defects;Mangler belte, ellers som ny;1000;349.0;True
2023-05-15;outfit.178816264aec41579db79e1bcf1b01a7;XS Spring Dress Grey;C.L.E.A.N. by Christina Ledang;C.L.E.A.N. by Christina Ledang;4 - Minor defects;Har noen små flekker bak på skjørtet, men vises ikke så godt. Ser fresht ut ellers;1350;400.0;True
2023-05-15;outfit.17d697a3168347bcb51b5bddf26426a2;XS Black Affair Dress;Holzweiler;Holzweiler;4 - Minor defects;Worn out, begining hole in back;3400;400.0;True
2023-09-15;outfit.181629c720b548f4a77a22851f1fbbce;S2 Gardenia Elysian Shirt;Karen by Simonsen;For Ynde;4 - Minor defects;slitt i sømmen i skrittet. lite hull ved lommen bak ikke veldig dynlig;2100;600.0;True
2023-09-15;outfit.18da12c5ecd149ccb6618cb53fb8262c;Sand Sagene Jacket;Holzweiler;HOLZWEILER;4 - Minor defects;flekker foran som ikke går bort i rens;1300;400.0;True
2023-12-12;outfit.19ec1848ceb8402b956e33003d252ccd;The Long Sleeved Kaftan Dress, Black;AWAN;AWAN;4 - Minor defects;misfarging i stoffet bak (ser ut som det er en del av printet);1900;550.0;True
2022-06-10;outfit.19f4932d209d4886bfe838d5677f09ed;XS Hawaiian Sunset Wrap Dress;MAUD;FJONG;4 - Minor defects;misfarging i stoffet på rygg - veldig lite;1000;300.0;True
2024-01-25;outfit.1a0d16e8be3649498b202bba8ea1743b;Auburn Layered Ruffle Blouse;Maud;FJONG;4 - Minor defects;antydning til flekk foran;3500;1050.0;True
2023-12-12;outfit.1a265d0988ad4e86966114062e4ca547;S Flared Dress Bloom;byTiMo;FJONG;4 - Minor defects;Mangler en knapp foran (spesialknapper);3500;1500.0;True
2024-01-25;outfit.1a5d811e31da4b90b7bb7231ebbdd696;2 Cameron Creme Blouse;Ganni;Høyer;4 - Minor defects;slitt på ermene;3200;700.0;True
;outfit.1abb743732ab455789b71cf43061f073;S Red Risandra Dress;By Malene Birger;Høyer;4 - Minor defects;slitt på ermene;3200;950.0;True
2023-12-12;outfit.1ad07ee4daee4450a865411d843b8130;XXL Denim Dress;Ane Mone;Ane Mone;4 - Minor defects;brent hull i kappe nederst;3500;1050.0;True
2023-09-15;outfit.1ad445e5454c42c795e33d82bbecd98f;White Marlene Jumpsuit;Urban Pioneers;Urban Pioneers;4 - Minor defects;fake-skinnet i halsen er helt flasset;3000;900.0;False
;outfit.1aeaa943d2aa4fea9c30dfadc8e77b38;M2 Franco Shirt Blue Surf;IBEN;IBEN (Storheil Agency);4 - Minor defects;Gule flekker som ikke går bort;3000;749.0;True
2024-01-25;outfit.1af94bab198546d9959ab6c656455ddb;Maria Blouse;Urban Pioneers;Urban Pioneers;4 - Minor defects;Wear and tear - hull som er sydd igjen ved zipper;3200;749.0;True
